neuron_id,swc_file,broad_region,soma_region,projection_class,cortical_layer,brain_id
18869_3321_x21485_y7678,18869_3321_x21485_y7678.swc,Cortex,SSp-m,CTX_ET,L5,18869
182724_2525_x8483_y21088,182724_2525_x8483_y21088.swc,Cortex,AId,CTX_ET,L5,182724
18453_3186_x12745_y7108,18453_3186_x12745_y7108.swc,Cortex,MOp,CTX_IT,L2/3,18453
18867_2903_x13633_y8787,18867_2903_x13633_y8787.swc,Cortex,MOp,CTX_ET,L5,18867
191812_5158_x9017_y25877,191812_5158_x9017_y25877.swc,Cortex,SSs,CTX_IT,,191812
18869_3398_x6248_y7047,18869_3398_x6248_y7047.swc,Cortex,SSp-m,CTX_ET,L5,18869
18869_5024_x5544_y5480,18869_5024_x5544_y5480.swc,Cortex,SSs,CTX_ET,L5,18869
18864_3338_x3396_y21865,18864_3338_x3396_y21865.swc,Cortex,MOp,CTX_IT,L4,18864
18453_6229_x34471_y10482,18453_6229_x34471_y10482.swc,Cortex,AUDv,CTX_IT,,18453
18867_4216_x9933_y8365,18867_4216_x9933_y8365.swc,Cortex,SSp-m,CTX_ET,L5,18867
18453_7245_x12979_y2864,18453_7245_x12979_y2864.swc,Cortex,VISp,CTX_IT,L2/3,18453
18453_3704_x10450_y7387,18453_3704_x10450_y7387.swc,Cortex,SSp-m,CTX_IT,L4,18453
18864_4554_x9386_y2232,18864_4554_x9386_y2232.swc,Cortex,SSs,CTX_IT,L2/3,18864
18868_5701_x9538_y5736,18868_5701_x9538_y5736.swc,Cortex,SSp-bfd,CTX_ET,L5,18868
18869_4050_x21764_y6239,18869_4050_x21764_y6239.swc,Cortex,SSp-m,CTX_ET,L5,18869
191812_3140_x5204_y12992,191812_3140_x5204_y12992.swc,Cortex,MOs,CTX_IT,,191812
18453_6604_x9161_y4006,18453_6604_x9161_y4006.swc,Cortex,VISrl,CTX_IT,L2/3,18453
18869_3701_x5589_y7633,18869_3701_x5589_y7633.swc,Cortex,SSp-m,CTX_ET,L5,18869
18453_7813_x5799_y12199,18453_7813_x5799_y12199.swc,Cortex,ENTl,CTX_IT,L2/3,18453
18869_4625_x5853_y5391,18869_4625_x5853_y5391.swc,Cortex,SSp-n,CTX_ET,L5,18869
191812_2734_x6259_y10487,191812_2734_x6259_y10487.swc,Cortex,MOs,CTX_IT,,191812
18453_5343_x23330_y3366,18453_5343_x23330_y3366.swc,Cortex,RSPagl,CTX_IT,L2/3,18453
18453_6746_x8555_y4741,18453_6746_x8555_y4741.swc,Cortex,VISl,CTX_IT,L2/3,18453
18453_4725_x30684_y6703,18453_4725_x30684_y6703.swc,Cortex,SSp-bfd,CTX_IT,L2/3,18453
191812_5676_x8072_y26215,191812_5676_x8072_y26215.swc,Cortex,SSs,CTX_IT,,191812
18453_4221_x16935_y5165,18453_4221_x16935_y5165.swc,Cortex,MOp,CTX_IT,L2/3,18453
182725_2581_x9375_y21137,182725_2581_x9375_y21137.swc,Cortex,AIv,CTX_ET,L5,182725
18867_6007_x18415_y4843,18867_6007_x18415_y4843.swc,Cortex,RSPv,CTX_ET,L5,18867
191807_5062_x6404_y23808,191807_5062_x6404_y23808.swc,Cortex,SSs,CTX_ET,,191807
18453_5459_x9646_y5477,18453_5459_x9646_y5477.swc,Cortex,SSp-bfd,CTX_IT,L4,18453
182725_2241_x9113_y11193,182725_2241_x9113_y11193.swc,Cortex,MOs,CTX_ET,L5,182725
182724_2247_x6785_y11803,182724_2247_x6785_y11803.swc,Cortex,MOs,CTX_ET,,182724
18453_5841_x19468_y3419,18453_5841_x19468_y3419.swc,Cortex,RSPv,CTX_IT,L2/3,18453
18869_4091_x4807_y8065,18869_4091_x4807_y8065.swc,Cortex,SSs,CTX_ET,L5,18869
191812_2978_x7903_y22705,191812_2978_x7903_y22705.swc,Cortex,MOp,CTX_IT,,191812
191807_4821_x3698_y18726,191807_4821_x3698_y18726.swc,Cortex,SSp-ll,CTX_ET,,191807
18868_2593_x15801_y13755,18868_2593_x15801_y13755.swc,Cortex,ORBvl,CTX_ET,L5,18868
18453_6316_x30559_y4743,18453_6316_x30559_y4743.swc,Cortex,VISrl,CTX_IT,L2/3,18453
18869_5684_x13521_y3699,18869_5684_x13521_y3699.swc,Cortex,RSPv,CTX_ET,L5,18869
18864_4420_x4377_y8261,18864_4420_x4377_y8261.swc,Cortex,SSp-ul,CTX_IT,L4,18864
18867_4330_x29413_y7746,18867_4330_x29413_y7746.swc,Cortex,SSp-m,CTX_ET,L5,18867
191812_3438_x6058_y10197,191812_3438_x6058_y10197.swc,Cortex,MOp,CTX_IT,,191812
18868_4047_x27203_y7787,18868_4047_x27203_y7787.swc,Cortex,SSp-ul,CTX_ET,L5,18868
18869_5553_x7275_y3994,18869_5553_x7275_y3994.swc,Cortex,SSp-bfd,CTX_ET,L5,18869
18868_4341_x30419_y10114,18868_4341_x30419_y10114.swc,Cortex,SSp-n,CTX_ET,L5,18868
