swc_file,number_of_nodes,soma_surface,number_of_stems,number_of_bifurcations,number_of_branches,number_of_tips,overall_width,overall_height,overall_depth,average_diameter,total_length,total_surface,total_volume,max_euclidean_distance,max_path_distance,max_branch_order,average_contraction,average_fragmentation,average_parent_daughter_ratio,average_bifurcation_angle_local,average_bifurcation_angle_remote,hausdorff_dimension
17302_00043.swc,1659.0,12.5664,7.0,24.0,53.0,30.0,275.55,260.93,251.39,1.99879,3212.49,20184.7,10092.3,194.057,238.783,7.0,0.885722,30.283,1.0,66.3692,60.6798,1.0912
17302_00045.swc,1235.0,12.5664,5.0,17.0,37.0,21.0,216.07,239.69,275.88,1.99838,2403.39,15101.0,7550.48,192.02,223.997,5.0,0.877969,32.3514,1.0,64.5854,78.6242,1.07194
17302_00085.swc,1584.0,12.5664,6.0,16.0,36.0,21.0,213.0,239.22,283.8,1.99874,3086.97,19396.0,9697.99,197.546,234.241,6.0,0.870697,42.9722,1.0,80.6225,91.4918,1.07849
17302_00091.swc,1321.0,12.5664,6.0,18.0,40.0,23.0,189.48,185.76,238.34,1.99849,2566.42,16125.3,8062.64,140.841,187.108,5.0,0.87714,32.0,1.0,57.9621,74.2562,1.12298
17302_00093.swc,1691.0,12.5664,4.0,25.0,52.0,28.0,245.48,210.03,220.7,1.99882,3280.65,20612.9,10306.5,156.481,224.855,5.0,0.884923,31.5,1.0,69.774,66.9627,1.08831
17302_00096.swc,1266.0,12.5664,4.0,20.0,42.0,23.0,209.53,316.96,145.95,1.99842,2442.98,15349.7,7674.85,170.553,203.553,6.0,0.881312,29.119,1.0,55.5853,52.2592,1.11461
17543_3705_x9619_y20864.swc,1928.0,12.5664,6.0,33.0,70.0,38.0,205.13,184.56,209.479,1.99896,3739.15,23493.8,11746.9,182.057,204.866,7.0,0.900059,26.5286,1.0,69.0993,61.3577,1.16025
17545_00023.swc,1490.0,12.5664,4.0,24.0,50.0,27.0,183.92,234.03,152.59,1.99866,2870.29,18034.6,9017.29,153.728,167.522,7.0,0.858472,28.78,1.0,69.039,77.926,1.09447
17545_00024.swc,1669.0,12.5664,5.0,20.0,43.0,24.0,292.22,221.47,189.949,1.9988,3241.12,20364.6,10182.3,171.023,207.545,8.0,0.876471,37.7907,1.0,60.6303,74.6706,1.13643
17545_00025.swc,1243.0,12.5664,3.0,16.0,33.0,18.0,226.13,225.85,201.28,1.99839,2399.43,15076.1,7538.03,180.047,227.436,6.0,0.849303,36.6364,1.0,57.6932,48.7587,1.07353
